

----------------------------特别土特产----------------------------
特别土特产(2019-07-19 08:37:55):  看看这会行不行
捷豹路虎官方旗舰店:服务助手(2019-07-19 08:37:55):  [卡片]
特别土特产(2019-07-19 09:13:52):  [未知]
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:13:52):  您好，我是捷豹路虎官方旗舰店购车管家:16，很荣幸能够为您提供服务。目前我们全新一代路虎揽胜极光首发运动定制版正在预售中，如您有兴趣可以点击了解详情： https://detail.tmall.com/item.htm?spm=a1z10.1-b.w5003-17450320331.1.5e4e452ccFlwFf&id=595245299165&sku_properties=151248060:4491610911&scene=taobao_shop
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:13:59):  您好，欢迎光临捷豹路虎官方旗舰店，我是线上购车管家16，竭诚为您服务。
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:14:20):  亲亲小客服这边已经提醒专员审核了哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:14:26):  审核结果会以短信告知您的哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:14:27):  尊敬的客户，整日奔波挺辛苦，天热多喝水，爱惜身体加餐饭，后面有任何问题随时联系我们在线客服~~捷豹路虎祝您心情愉快，开启幸福每一天[表情]
特别土特产(2019-07-19 09:14:31):  
特别土特产(2019-07-19 09:18:36):  什么原因又被退回
特别土特产(2019-07-19 09:18:50):  有没有个理由
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:18:54):  小客服帮您查询 一下的哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:19:23):  [图片]
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:19:32):  身份证未留边角哦
特别土特产(2019-07-19 09:21:28):  上次溜边说不行，这次不留边也不行
特别土特产(2019-07-19 09:22:03):  
特别土特产(2019-07-19 09:22:03):  我想问问身份证看的信息都可看，还想看啥
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:22:48):  [图片][图片]
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:22:53):  这个是上传的注意事项的哦
特别土特产(2019-07-19 09:30:56):  重新上传了
特别土特产(2019-07-19 09:30:59):  在看看
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:31:30):  好的小客服已经催促专员审核了哦
特别土特产(2019-07-19 15:55:41):  请问是什么原因又没有通过，完人是吧
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 15:56:03):  小客服帮您看一下的哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 15:56:06):  给亲亲添麻烦了
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 15:57:35):  [图片]
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 15:57:39):  亲亲您看一下的哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 15:57:55):  亲亲照相的时候不要有反光以及水印的哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 17:12:36):  请问您这边还有其他问题需要咨询吗
特别土特产(2019-07-19 17:16:27):  从哪能看出反光，水印就是告诉您们这个不做他用
特别土特产(2019-07-19 17:16:56):  水印很正常
特别土特产(2019-07-19 17:17:04):  别那么多事事
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 17:17:10):  亲亲如果有水印就无法通过审核的哦 实在很抱歉 联通的审核很严的哦 
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 17:17:12):  给亲亲添麻烦了
特别土特产(2019-07-19 17:17:53):  第一次听联通说水印不行
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 17:18:20):  亲亲您放心我们是不会做他用的呢 审核都是需要经由联通审核的哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 17:18:25):  所有的客户都是一样的哦
特别土特产(2019-07-19 17:18:31):  能办就办，不能办叫你们总部联系我
特别土特产(2019-07-19 17:18:46):  你们家事太多
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 17:18:58):  小客服咨询一下专员的哦
特别土特产(2019-07-19 17:19:11):  就这点破事捣鼓一个月
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 17:19:56):  小客服正在咨询专员的哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 17:26:38):  [图片]亲亲您这边照片上传的时候会自动加水印的哦 不需要您这边另外加的哦
